#,WARD NAME,WARD CODE,LGA NAME,LGA CODE,State Constituency,,Federal Constituency,,Senatorial District,,STATE
1,EZIAMA,01,ABA NORTH,01,ABA NORTH,SC/01/AB,Aba North/Aba South,FC/001/AB,ABIA SOUTH,SD/003/AB,ABIA
2,INDUSTRIAL AREA,02,ABA NORTH,01,ABA NORTH,SC/01/AB,Aba North/Aba South,FC/001/AB,ABIA SOUTH,SD/003/AB,ABIA
3,OSUSU I,03,ABA NORTH,01,ABA NORTH,SC/01/AB,Aba North/Aba South,FC/001/AB,ABIA SOUTH,SD/003/AB,ABIA
4,OSUSU II,04,ABA NORTH,01,ABA NORTH,SC/01/AB,Aba North/Aba South,FC/001/AB,ABIA SOUTH,SD/003/AB,ABIA
5,ST. EUGENES BY OKIGWE RD,05,ABA NORTH,01,ABA NORTH,SC/01/AB,Aba North/Aba South,FC/001/AB,ABIA SOUTH,SD/003/AB,ABIA
6,URATTA,06,ABA NORTH,01,,,Aba North/Aba South,FC/001/AB,ABIA SOUTH,SD/003/AB,ABIA
7,OLD ABA GRA,07,ABA NORTH,01,ABA NORTH,SC/01/AB,Aba North/Aba South,FC/001/AB,ABIA SOUTH,SD/003/AB,ABIA
8,UMUOLA,08,ABA NORTH,01,ABA CENTRAL,SC/03/AB,Aba North/Aba South,FC/001/AB,ABIA SOUTH,SD/003/AB,ABIA
9,ARIARIA MARKET,09,ABA NORTH,01,,,Aba North/Aba South,FC/001/AB,ABIA SOUTH,SD/003/AB,ABIA
10,OGBOR I,10,ABA NORTH,01,ABA CENTRAL,SC/03/AB,Aba North/Aba South,FC/001/AB,ABIA SOUTH,SD/003/AB,ABIA
11,OGBOR II,11,ABA NORTH,01,ABA CENTRAL,SC/03/AB,Aba North/Aba South,FC/001/AB,ABIA SOUTH,SD/003/AB,ABIA
12,UMUOGOR,12,ABA NORTH,01,ABA NORTH,SC/01/AB,Aba North/Aba South,FC/001/AB,ABIA SOUTH,SD/003/AB,ABIA
13,EZIUKWU,01,ABA SOUTH,02,,,Aba North/Aba South,FC/001/AB,ABIA SOUTH,SD/003/AB,ABIA
14,ASA,02,ABA SOUTH,02,,,Aba North/Aba South,FC/001/AB,ABIA SOUTH,SD/003/AB,ABIA
15,ENYIAMA,03,ABA SOUTH,02,,,Aba North/Aba South,FC/001/AB,ABIA SOUTH,SD/003/AB,ABIA
16,NGWA,04,ABA SOUTH,02,ABA SOUTH,SC/02/AB,Aba North/Aba South,FC/001/AB,ABIA SOUTH,SD/003/AB,ABIA
