#,PU_LOC_ID,STATE,LGA,RA,PU,BUILDING_TYPE_ID,LAT,LONG,PU_LOC_NUM_AFFILIATIONS,PU_LOC_DESC,,,
1,AB0101001,AB,1,1,1,6,5.123956245,7.370220269,0,located infront of the office block opp Railway Staff club,,,
2,AB0101002,AB,1,1,2,6,5.123978139,7.370266364,0,located infront of the office block opp Railway Staff club,,,
3,AB0101003,AB,1,1,3,6,5.123970478,7.370250737,0,located infront of the office block opp Railway Staff club,,,
4,AB0101004,AB,1,1,4,6,5.123982565,7.370243127,0,located infront of the office block opp Railway Staff club,,,
5,AB0101005,AB,1,1,5,4,5.126944321,7.362338296,0,located within the sch. premises infront of the Auditorium & the Pavilion,,,
6,AB0101006,AB,1,1,6,4,5.126944039,7.362339681,0,located within the sch. premises infront of the Auditorium & the Pavilion,,,
7,AB0101007,AB,1,1,7,4,5.126952971,7.362333566,0,located within the sch. premises infront of the Auditorium & the Pavilion,,,
8,AB0101008,AB,1,1,8,4,5.126949152,7.362325992,0,located within the sch. premises infront of the Auditorium & the Pavilion,,,
9,AB0101009,AB,1,1,9,4,5.126950071,7.36231985,0,located within the sch. premises infront of the Auditorium & the Pavilion,,,
10,AB0101010,AB,1,1,10,4,5.126951192,7.362328433,0,located within the sch. premises infront of the Auditorium & the Pavilion,,,
11,AB0101011,AB,1,1,11,4,5.132508363,7.367913692,0,"located within the sch. premises on Anyaumunna str., beside The Eternal Sacred Order of Cherubim & Seraphim church, Aba",,,
12,AB0101012,AB,1,1,12,4,5.132506678,7.367948958,0,"located within the sch. premises on Anyaumunna str., beside The Eternal Sacred Order of Cherubim & Seraphim church, Aba",,,
13,AB0101013,AB,1,1,13,4,5.132520561,7.367973648,0,"located within the sch. premises on Anyaumunna str., beside The Eternal Sacred Order of Cherubim & Seraphim church, Aba",,,
14,AB0101014,AB,1,1,14,4,5.132508438,7.367942356,0,"located within the sch. premises on Anyaumunna str., beside The Eternal Sacred Order of Cherubim & Seraphim church, Aba",,,
15,AB0101015,AB,1,1,15,4,5.132518047,7.367935049,0,"located within the sch. premises on Anyaumunna str., beside The Eternal Sacred Order of Cherubim & Seraphim church, Aba",,,
16,AB0101016,AB,1,1,16,4,5.13252884,7.371875538,0,"located within the sch. premises beside Seventh Day Adventist church, Eziama",,,
17,AB0101017,AB,1,1,17,4,5.132519016,7.371863876,0,"located within the sch. premises beside Seventh Day Adventist church, Eziama",,,
18,AB0101018,AB,1,1,18,4,5.132523551,7.371870152,0,"located within the sch. premises beside Seventh Day Adventist church, Eziama",,,
19,AB0101019,AB,1,1,19,4,5.132520586,7.37187092,0,"located within the sch. premises beside Seventh Day Adventist church, Eziama",,,
20,AB0101020,AB,1,1,20,4,5.132514903,7.371870222,0,"located within the sch. premises beside Seventh Day Adventist church, Eziama",,,
21,AB0101021,AB,1,1,21,4,5.13253551,7.371883073,0,"located within the sch. premises beside Seventh Day Adventist church, Eziama",,,
22,AB0102001,AB,1,2,1,9,5.116861364,7.37418304,0,"located beside Chief Magistrate Court, Aba North L. G. A.",,,
23,AB0102002,AB,1,2,2,9,5.116889932,7.374177695,0,"located beside Chief Magistrate Court, Aba North L. G. A.",,,
24,AB0102003,AB,1,2,3,9,5.116817518,7.374104281,0,"located beside Chief Magistrate Court, Aba North L. G. A.",,,
25,AB0102004,AB,1,2,4,9,5.116807099,7.374142902,0,"located beside Chief Magistrate Court, Aba North L. G. A.",,,
26,AB0102005,AB,1,2,5,6,5.116098952,7.372379042,0,"located along factory rd., beside Ibeto Industries Ltd.",,,
27,AB0102006,AB,1,2,6,6,5.116091131,7.372374619,0,"located along factory rd., beside Ibeto Industries Ltd.",,,
28,AB0102007,AB,1,2,7,6,5.116096077,7.372388327,0,"located along factory rd., beside Ibeto Industries Ltd.",,,
