#,STATE,LGA NAME,LGA CODE,WARD NAME,WARD CODE,Councillor,Start,End,
1,ABIA,ABIA NORTH,01,EZIAMA,01,,,,AB0101
2,ABIA,ABIA NORTH,01,INDUSTRIAL AREA,02,,,,AB0102
3,ABIA,ABIA NORTH,01,OSUSU I,03,,,,AB0103
4,ABIA,ABIA NORTH,01,OSUSU II,04,,,,AB0104
5,ABIA,ABIA NORTH,01,ST. EUGENES BY OKIGWE RD,05,,,,AB0105
6,ABIA,ABIA NORTH,01,URATTA,06,,,,AB0106
7,ABIA,ABIA NORTH,01,OLD ABA GRA,07,,,,AB0107
8,ABIA,ABIA NORTH,01,UMUOLA,08,,,,AB0108
9,ABIA,ABIA NORTH,01,ARIARIA MARKET,09,,,,AB0109
10,ABIA,ABIA NORTH,01,OGBOR I,10,,,,AB0110
11,ABIA,ABIA NORTH,01,OGBOR II,11,,,,AB0111
12,ABIA,ABIA NORTH,01,UMUOGOR,12,,,,AB0112
13,ABIA,ABA SOUTH,02,EZIUKWU,01,,,,AB0201
14,ABIA,ABA SOUTH,02,ASA,02,,,,AB0202
15,ABIA,ABA SOUTH,02,ENYIAMA,03,,,,AB0203
16,ABIA,ABA SOUTH,02,NGWA,04,,,,AB0204
17,ABIA,ABA SOUTH,02,OHAZU I,05,,,,AB0205
18,ABIA,ABA SOUTH,02,OHAZU II,06,,,,AB0206
19,ABIA,ABA SOUTH,02,IGWEBUIKE,07,,,,AB0207
20,ABIA,ABA SOUTH,02,EKEOHA,08,,,,AB0208
21,ABIA,ABA SOUTH,02,GLOUCHESTER,09,,,,AB0209
22,ABIA,ABA SOUTH,02,MOSQUE,10,,,,AB0210
23,ABIA,ABA SOUTH,02,ABA RIVER,11,,,,AB0211
24,ABIA,ABA SOUTH,02,ABA TOWN HALL,12,,,,AB0212
25,ABIA,AROCHUKWU,03,OVUKWU,01,,,,AB0301
26,ABIA,AROCHUKWU,03,OHAEKE,02,,,,AB0302
27,ABIA,AROCHUKWU,03,OHAFOR I,03,,,,AB0303
28,ABIA,AROCHUKWU,03,OHAFOR II,04,,,,AB0304
29,ABIA,AROCHUKWU,03,AROCHUKWU I,05,,,,AB0305
30,ABIA,AROCHUKWU,03,AROCHUKWU II,06,,,,AB0306
31,ABIA,AROCHUKWU,03,IKWUN IHECHIOWA,07,,,,AB0307
32,ABIA,AROCHUKWU,03,ELEOHA IHECHIOWA,08,,,,AB0308
33,ABIA,AROCHUKWU,03,UTUTU,09,,,,AB0309
34,ABIA,AROCHUKWU,03,ISU,10,,,,AB0310
35,ABIA,AROCHUKWU,03,AROCHUKWU III,11,,,,AB0311
36,ABIA,BENDE,04,AMINKALU/AKOLIUFU,01,,,,AB0401
37,ABIA,BENDE,04,BENDE,02,,,,AB0402
38,ABIA,BENDE,04,UGWUEKE/EZEUKWU,03,,,,AB0403
39,ABIA,BENDE,04,IGBERE ‘A’,04,,,,AB0404
40,ABIA,BENDE,04,IGBERE ‘B’,05,,,,AB0405
41,ABIA,BENDE,04,ITEM ‘A’,06,,,,AB0406
42,ABIA,BENDE,04,ITEM ‘B’,07,,,,AB0407
43,ABIA,BENDE,04,ITEM ‘C’,08,,,,AB0408
44,ABIA,BENDE,04,ITUMBAUZO,09,,,,AB0409
45,ABIA,BENDE,04,OZUITEM,10,,,,AB0410
46,ABIA,BENDE,04,UMUHU/EZECHI,11,,,,AB0411
47,ABIA,BENDE,04,UMU-IMENYI,12,,,,AB0412
48,ABIA,BENDE,04,UZUAKOLI,13,,,,AB0413
49,ABIA,IKWUANO,05,OLOKO I,01,,,,AB0501
50,ABIA,IKWUANO,05,OLOKO II,02,,,,AB0502
51,ABIA,IKWUANO,05,IBERE I,03,,,,AB0503
52,ABIA,IKWUANO,05,IBERE II,04,,,,AB0504
53,ABIA,IKWUANO,05,OBORO I,05,,,,AB0505
54,ABIA,IKWUANO,05,OBORO II,06,,,,AB0506
55,ABIA,IKWUANO,05,OBORO III,07,,,,AB0507
56,ABIA,IKWUANO,05,OBORO IV,08,,,,AB0508
57,ABIA,IKWUANO,05,ARIAM,09,,,,AB0509
58,ABIA,IKWUANO,05,USAKA,10,,,,AB0510
59,ABIA,ISIALA NGWA NORTH,06,AMASAA NSULU,01,,,,AB0601
60,ABIA,ISIALA NGWA NORTH,06,UMUNNA NSULU,02,,,,AB0602
61,ABIA,ISIALA NGWA NORTH,06,ISIALA NSULU,03,,,,AB0603
62,ABIA,ISIALA NGWA NORTH,06,NGWA UKWU II,04,,,,AB0604
63,ABIA,ISIALA NGWA NORTH,06,NGWA UKWU I,05,,,,AB0605
64,ABIA,ISIALA NGWA NORTH,06,IJIE,06,,,,AB0606
65,ABIA,ISIALA NGWA NORTH,06,AMASAA NTIGHA,07,,,,AB0607
66,ABIA,ISIALA NGWA NORTH,06,AMAPU NTIGHA,08,,,,AB0608
67,ABIA,ISIALA NGWA NORTH,06,UMUOHA,09,,,,AB0609
